date,via,lat,lon,alt,alt_max,tmp,hum,pss,count,rate
1688814762,OK0EB-10,48.55550684384894,13.81255151919271,32006.438400000003,32006.438400000003,-10.555555555555555,1,13.5,269,3.79
1688814823,OK0EB-10,48.55719221056058,13.80084845875578,32230.771200000003,32230.771200000003,-10,1,13.2,270,3.74
1688814884,OK1JRA-15,48.56019804371453,13.789281907772107,32469.7344,32469.7344,-10,1,12.9,271,3.98
1688814944,OK0EB-10,48.56247932669337,13.778324398964628,32710.526400000002,32710.526400000002,-8.88888888888889,1,12.6,272,4.01
1688815004,OK1FWG-10,48.564776360762984,13.76831195560294,32952.8424,32952.8424,-10,1,12.3,273,4.04
1688815065,OK1FWG-10,48.56622808629498,13.758583031874963,33186.624,33186.624,-8.333333333333334,1,12,274,3.9
1688815126,OK1FWG-10,48.565661047027504,13.746575450349923,33364.0176,33364.0176,-6.666666666666666,9,11.8,275,2.96
1688815186,OK1JRA-15,48.56495224794317,13.731475404671784,33537.4488,33537.4488,-6.666666666666666,1,11.6,276,2.89
1688815246,OK0EB-10,48.56461884985535,13.718291741703126,33758.7336,33758.7336,-6.666666666666666,1,11.4,277,3.69
1688815307,OK1FWG-10,48.56471860676352,13.70435202637782,33989.4672,33989.4672,-7.777777777777778,1,11.1,278,3.85
1688815368,OK1FWG-10,48.56595769257021,13.69180890776687,34179.052800000005,34179.052800000005,-8.88888888888889,1,10.9,279,3.16
1688815428,OK0EB-10,48.5661755826591,13.680032342239713,34345.1688,34345.1688,-8.333333333333334,1,10.7,280,2.77
1688815488,OK1FWG-10,48.567005140105955,13.668502543801168,34500.312000000005,34500.312000000005,-6.666666666666666,1,10.6,281,2.59
1688815548,DF3WE-12,48.56774281619002,13.656169439733702,34660.6368,34660.6368,-7.222222222222222,1,10.4,282,2.67
1688815609,OK0EB-10,48.56814184382269,13.643048781128101,34801.7592,34801.7592,-6.111111111111111,1,10.2,283,2.35
1688815669,OK1JRA-15,48.566939510561106,13.632248783228249,34923.984000000004,34923.984000000004,-5.555555555555555,9,10.2,284,2.04
1688815729,OK0EB-10,48.565532413119605,13.619857925161313,35069.0688,35069.0688,-5.555555555555555,9,10,285,2.42
1688815790,OK1JRA-15,48.564290702131125,13.608464636176052,35233.9656,35233.9656,-8.333333333333334,1,9.9,286,2.75
1688815850,OK0EB-10,48.56315399841439,13.594671931031229,35399.1672,35399.1672,-6.666666666666666,1,9.8,287,2.75
1688815910,DF3WE-12,48.563445393593504,13.578705575361084,35538.7656,35538.7656,-8.88888888888889,1,9.7,288,2.33
1688815971,DF3WE-12,48.56525676903126,13.561647144064722,35646.969600000004,35646.969600000004,-8.88888888888889,1,9.5,289,1.8
1688816032,DF3WE-12,48.568656379454275,13.545339514761395,35757.3072,35757.3072,-8.333333333333334,1,9.4,290,1.84
1688816092,DF3WE-12,48.57216624751264,13.531363046890988,35870.0832,35870.0832,-9.444444444444445,1,9.4,291,1.88
1688816157,F4EWJ-10,48.57559473493539,13.519071945732236,35970.972,35970.972,-6.111111111111111,1,9.3,292,1.68
1688816212,OK0EB-10,48.57901534681277,13.507615652383919,36031.0176,36031.0176,-4.444444444444445,9,9.3,293,1
1688816273,DF3WE-12,48.582050056966445,13.496185610853559,36060.888,36060.888,-6.666666666666666,1,9.2,294,0.5
1688816334,DF3WE-12,48.58442322130808,13.484540304416072,36076.128000000004,36076.128000000004,-8.333333333333334,1,9.2,295,0.25
1688816395,OK0EB-10,48.58622934638224,13.472427715619318,36106.3032,36106.3032,-8.333333333333334,1,9.2,296,0.5
1688816455,OK0EB-10,48.58748418327969,13.45931755774086,36185.2464,36185.2464,-2.2222222222222223,9,9.2,297,1.32
1688816515,OK1JRA-15,48.588578884087724,13.445839874411291,36251.0832,36251.0832,-5,9,9.1,298,1.1
1688816575,DL3SDN-10,48.589649958259606,13.432236182355638,36277.296,36277.296,-3.888888888888889,9,9,299,0.44
1688816636,DF3WE-12,48.59069478061356,13.418795251571169,36297.7176,36297.7176,-3.888888888888889,9,9,300,0.34
1688816697,OK0DV-10,48.59190761460231,13.405013047153517,36332.16,36332.16,0,9,9,301,0.57
1688816757,DF3WE-12,48.59294193622908,13.391173088736394,36372.088800000005,36372.088800000005,-1.1111111111111112,9,9,302,0.67
1688816817,OK0EB-10,48.593508975496555,13.37700235741326,36415.675200000005,36415.675200000005,0,9,9,303,0.73
1688816877,OK1JRA-15,48.59393950531074,13.362553356819973,36426.648,36426.648,1.6666666666666665,9,8.9,304,0.18
1688816938,OK1FWG-10,48.59428340412573,13.348282868588655,36417.1992,36426.648,0,9,8.9,305,-0.16
1688816999,OK1FWG-10,48.594254527126004,13.333513595816498,36441.2784,36441.2784,-1.1111111111111112,9,8.9,306,0.4
1688817059,OK1FWG-10,48.59362973385907,13.317878013052393,36485.4744,36485.4744,2.7777777777777777,9,9,307,0.74
1688817119,OK1JRA-15,48.592427400597494,13.301486377931667,36500.1048,36500.1048,3.333333333333333,9,8.8,308,0.24
1688817180,DF3WE-12,48.59121456660874,13.284590707906517,36472.9776,36500.1048,0,9,8.8,309,-0.45
1688817241,OK0EB-10,48.59013299170967,13.268088815150463,36462.3096,36500.1048,0,9,8.8,310,-0.18
1688817301,DF3WE-12,48.58936118826229,13.252883762200526,36515.9544,36515.9544,-3.333333333333333,9,8.8,311,0.89
1688817362,DF3WE-12,48.58898578726577,13.23902280232906,36599.1648,36599.1648,-5.555555555555555,9,8.7,312,1.39
1688817422,DF3WE-12,48.588765271995086,13.225875891905503,36643.3608,36643.3608,-7.222222222222222,9,8.7,313,0.74
1688817483,OK0EB-10,48.58848175236135,13.21256622021076,36624.768000000004,36643.3608,-6.111111111111111,9,8.7,314,-0.31
